categories_list,FinanceSub,CapitalSub,ProcurementSub,LegalSub,ManufacturingSub,MarketingSub,MentoringSub,NetworkingSub,PlanningSub,RDSub,RegulatorySub,SpaceSub,HRSub,industries_list,communities_list
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Lease Review,Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration","","Feasibility Studies,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Locating Foreign Distributors,Market Plan Development and Training,Market Research","Formal Mentoring Programs,One-to-One Counseling",Demographically Based,"","","","","","Agriculture,High Tech Services & Manufacturing,Information Technology,Management,Not for Profit,Personal Services,Restaurant & Hotel,Transportation & Warehousing","LGBTQ,Woman,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Registration, Licenses, & Permits","","Bid Matching and Preparation,Feasibility Studies,Identification/Research of Foreign Markets,Obtaining Corporate Contracts,Obtaining Government Contracts,Subcontracting Opportunities",Formal Mentoring Programs,"Industry Specific,Networking/Exploring Exporting","","","","","","Education,Energy & Utilities,Information Technology,Real Estate,Restaurant & Hotel","Immigrant,LGBTQ,Other,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,International Regulatory Compliance","","Feasibility Studies,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,International Trade Training,Market Plan Development and Training,Obtaining Corporate Contracts,Student Research/Marketing Projects,Subcontracting Opportunities,Website Development",One-to-One Counseling,"Demographically Based,Geographically Based,Networking/Exploring Exporting","","","","","","Education,Management,Other Services","African American,Asian,Other,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Government Requirements,Insurance Requirements,State and Federal Tax Training and Registration","","Competitive Analysis,Feasibility Studies,HUBZone Certification,Identification/Research of Foreign Markets,International Trade Training,Obtaining Government Contracts","Formal Mentoring Programs,One-to-One Counseling",Industry Specific,"","","","","","Arts,Education,High Tech Services & Manufacturing,Not for Profit,Personal Services,Professional Services,Tourism,Transportation & Warehousing","Asian,Veteran,Woman,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","E-Commerce/Internet Marketing,Feasibility Studies,HUBZone Certification,Obtaining Corporate Contracts,Student Research/Marketing Projects,Trade Education and Training,Website Development",One-to-One Counseling,Industry Specific,"","","","","","Biosciences Services and Manufacturing,Construction,Education,Energy & Utilities,Health & Childcare,High Tech Services & Manufacturing,Information Technology,Management,Manufacturing,Professional Services,Real Estate,Wholesale","LGBTQ,Other,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Insurance Requirements,Tax Credits","","HUBZone Certification,Import/Export Certification and Licensing,Networking/Exploring Exporting,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Trade Education and Training",Peer Mentoring,"Demographically Based,Industry Specific","","","","","","Agriculture,Biosciences Services and Manufacturing,Construction,Fiance & Insurance,Management,Personal Services,Professional Services,Real Estate,Restaurant & Hotel,Transportation & Warehousing,Wholesale","Immigrant,LGBTQ,Other,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","","","Competitive Analysis,E-Commerce/Internet Marketing,Market Plan Development and Training,Networking/Exploring Exporting,Obtaining Corporate Contracts,Subcontracting Opportunities,Trade Education and Training","One-to-One Counseling,Peer Mentoring","Geographically Based,Industry Specific,Small Business/General","","","","","","Fiance & Insurance,Manufacturing,Personal Services,Restaurant & Hotel,Retail,Transportation & Warehousing","Hispanic,Immigrant"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Lease Review,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,Tax Credits","","Graphic Design,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,International Trade Training,Networking/Exploring Exporting,Selling to Foreign Governments and Businesses,Subcontracting Opportunities",Formal Mentoring Programs,"Geographically Based,Networking/Exploring Exporting,Small Business/General","","","","","","Agriculture,Biosciences Services and Manufacturing,Energy & Utilities,Information Technology,Real Estate,Wholesale",""
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,International Regulatory Compliance","","Feasibility Studies,HUBZone Certification,Identification/Research of Foreign Markets,Market Plan Development and Training,Market Research,Student Research/Marketing Projects",Formal Mentoring Programs,"","","","","","","Arts,Fiance & Insurance,High Tech Services & Manufacturing,Information Technology,Not for Profit,Other Services,Professional Services,Real Estate,Tourism","Native American,Other,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Lease Review,Patent, Trademark, & Copyright Information","","Graphic Design,HUBZone Certification,Import/Export Certification and Licensing","Formal Mentoring Programs,One-to-One Counseling,Peer Mentoring",Networking/Exploring Exporting,"","","","","","Construction,Information Technology,Personal Services,Professional Services,Real Estate,Restaurant & Hotel,Tourism","Asian,Immigrant,Other,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Call Center Services,HUBZone Certification,Import/Export Certification and Licensing,Market Plan Development and Training,Networking/Exploring Exporting,Obtaining Corporate Contracts,Obtaining Government Contracts,Trade Education and Training","One-to-One Counseling,Peer Mentoring","Industry Specific,Small Business/General","","","","","","Construction,Education,Energy & Utilities,Information Technology,Management,Not for Profit,Restaurant & Hotel,Transportation & Warehousing,Wholesale","Hispanic,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Government Requirements,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","E-Commerce/Internet Marketing,Graphic Design,Identification/Research of Foreign Markets,International Trade Training,Locating Foreign Distributors,Market Plan Development and Training,Market Research,Obtaining Corporate Contracts,Obtaining Government Contracts,Student Research/Marketing Projects,Website Development","One-to-One Counseling,Peer Mentoring","Demographically Based,Networking/Exploring Exporting,Small Business/General","","","","","","Education,Manufacturing,Not for Profit,Other Services,Personal Services,Professional Services,Real Estate,Tourism","Hispanic,Immigrant,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Government Requirements,International Regulatory Compliance,State and Federal Tax Training and Registration","","Call Center Services,E-Commerce/Internet Marketing,Graphic Design,HUBZone Certification,Locating Foreign Distributors,Market Research,Subcontracting Opportunities",Formal Mentoring Programs,"","","","","","","Arts,Health & Childcare,Information Technology,Management,Personal Services,Professional Services,Real Estate,Wholesale","Hispanic,Immigrant,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Lease Review,State and Federal Tax Training and Registration","","Feasibility Studies,International Trade Training,Locating Foreign Distributors,Market Plan Development and Training,Networking/Exploring Exporting,Obtaining Corporate Contracts",Formal Mentoring Programs,"Demographically Based,Industry Specific","","","","","","Biosciences Services and Manufacturing,Fiance & Insurance,Manufacturing,Other Services,Tourism","African American,Asian,Hispanic,LGBTQ,Native American,Other,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Insurance Requirements,International Regulatory Compliance,Lease Review,State and Federal Tax Training and Registration","","Competitive Analysis,Feasibility Studies,Graphic Design,HUBZone Certification,Import/Export Certification and Licensing,International Trade Training,Locating Foreign Distributors,Market Plan Development and Training,Obtaining Corporate Contracts,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Subcontracting Opportunities",Formal Mentoring Programs,"Demographically Based,Geographically Based,Networking/Exploring Exporting","","","","","","High Tech Services & Manufacturing,Real Estate",Native American
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Lease Review,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Feasibility Studies,Graphic Design,Import/Export Certification and Licensing,Market Plan Development and Training,Market Research,Student Research/Marketing Projects,Trade Education and Training,Website Development",Peer Mentoring,Small Business/General,"","","","","","Fiance & Insurance,Tourism","Asian,Hispanic,LGBTQ,Native American,Other,Woman,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration,Tax Credits","","Call Center Services,Graphic Design,Import/Export Certification and Licensing,Locating Foreign Distributors,Market Plan Development and Training,Market Research,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects",Formal Mentoring Programs,"Industry Specific,Networking/Exploring Exporting,Small Business/General","","","","","","Biosciences Services and Manufacturing,Information Technology,Management,Not for Profit,Personal Services,Professional Services,Retail,Wholesale","Native American,Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,International Regulatory Compliance,Tax Credits","","Bid Matching and Preparation,Competitive Analysis,Graphic Design,Locating Foreign Distributors,Market Plan Development and Training,Market Research,Website Development","One-to-One Counseling,Peer Mentoring",Demographically Based,"","","","","","Agriculture,Arts,Biosciences Services and Manufacturing,High Tech Services & Manufacturing,Personal Services,Professional Services,Real Estate","LGBTQ,Native American"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",State and Federal Tax Training and Registration,"","Call Center Services,E-Commerce/Internet Marketing,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,International Trade Training,Locating Foreign Distributors,Obtaining Corporate Contracts,Subcontracting Opportunities,Website Development",One-to-One Counseling,Small Business/General,"","","","","","Health & Childcare,Management,Professional Services,Restaurant & Hotel","Hispanic,Woman,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","E-Commerce/Internet Marketing,Feasibility Studies,Import/Export Certification and Licensing,Student Research/Marketing Projects",Peer Mentoring,Demographically Based,"","","","","","Education,Energy & Utilities,Information Technology,Not for Profit,Professional Services,Real Estate,Restaurant & Hotel","Immigrant,LGBTQ,Native American"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Lease Review","","Call Center Services,Feasibility Studies,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,International Trade Training,Subcontracting Opportunities","","Geographically Based,Networking/Exploring Exporting","","","","","","Education,Health & Childcare,High Tech Services & Manufacturing,Not for Profit,Personal Services,Professional Services,Real Estate,Restaurant & Hotel","African American,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Environmental Compliance,"","HUBZone Certification,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Locating Foreign Distributors,Market Plan Development and Training,Obtaining Corporate Contracts,Student Research/Marketing Projects",Peer Mentoring,"Demographically Based,Small Business/General","","","","","","Information Technology,Other Services,Real Estate,Transportation & Warehousing,Wholesale",NOT TARGETED
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Lease Review,Registration, Licenses, & Permits","","Bid Matching and Preparation,Call Center Services,Feasibility Studies,Locating Foreign Distributors,Market Plan Development and Training,Market Research,Subcontracting Opportunities","","Demographically Based,Geographically Based","","","","","","Construction,High Tech Services & Manufacturing,Information Technology,Not for Profit,Other Services,Restaurant & Hotel,Tourism","Native American,Other,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","International Regulatory Compliance,Tax Credits","","Feasibility Studies,HUBZone Certification,Import/Export Certification and Licensing,International Trade Training,Market Research,Networking/Exploring Exporting,Student Research/Marketing Projects,Subcontracting Opportunities",One-to-One Counseling,"Demographically Based,Geographically Based","","","","","","Construction,Energy & Utilities,Personal Services,Restaurant & Hotel,Tourism,Transportation & Warehousing,Wholesale","African American,Hispanic,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Government Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Graphic Design,International Trade Training,Locating Foreign Distributors,Networking/Exploring Exporting,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Trade Education and Training,Website Development",Formal Mentoring Programs,Networking/Exploring Exporting,"","","","","","Agriculture,Education,Energy & Utilities,Management,Manufacturing,Not for Profit,Other Services","African American,Asian,Hispanic,Native American,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Government Requirements,Insurance Requirements,Patent, Trademark, & Copyright Information","","E-Commerce/Internet Marketing,International Trade Training,Market Research,Networking/Exploring Exporting,Obtaining Government Contracts,Student Research/Marketing Projects,Website Development",One-to-One Counseling,"","","","","","","Agriculture,Biosciences Services and Manufacturing,Construction,Professional Services,Real Estate,Tourism,Transportation & Warehousing",Hispanic
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","","","Call Center Services,Competitive Analysis,HUBZone Certification,International Trade Training,Market Plan Development and Training,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects",Formal Mentoring Programs,"Demographically Based,Networking/Exploring Exporting,Small Business/General","","","","","","High Tech Services & Manufacturing,Management,Real Estate,Restaurant & Hotel,Retail,Tourism,Transportation & Warehousing","African American,LGBTQ,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,Insurance Requirements,International Regulatory Compliance,Lease Review,Patent, Trademark, & Copyright Information,Tax Credits","","Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies,Graphic Design,HUBZone Certification,Import/Export Certification and Licensing,Networking/Exploring Exporting,Selling to Foreign Governments and Businesses",Formal Mentoring Programs,"Demographically Based,Networking/Exploring Exporting","","","","","","Fiance & Insurance,High Tech Services & Manufacturing,Management,Manufacturing,Restaurant & Hotel,Retail,Transportation & Warehousing","Hispanic,Immigrant,Other,Veteran,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,Lease Review,Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration","","Call Center Services,HUBZone Certification,Import/Export Certification and Licensing,Market Research,Trade Education and Training",Formal Mentoring Programs,Demographically Based,"","","","","","Agriculture,Real Estate,Wholesale","African American,Asian,Veteran,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,International Regulatory Compliance","","Competitive Analysis,Feasibility Studies,HUBZone Certification,Identification/Research of Foreign Markets,International Trade Training,Market Research,Obtaining Corporate Contracts,Website Development","",Networking/Exploring Exporting,"","","","","","Arts,Health & Childcare,High Tech Services & Manufacturing,Management,Personal Services,Real Estate","African American,Immigrant,Native American,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Government Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information","","Call Center Services,HUBZone Certification,Identification/Research of Foreign Markets,Locating Foreign Distributors,Market Research,Obtaining Corporate Contracts","",Geographically Based,"","","","","","Biosciences Services and Manufacturing,Construction,Education,Fiance & Insurance,Health & Childcare,High Tech Services & Manufacturing,Personal Services,Transportation & Warehousing","Asian,Other,Veteran,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Insurance Requirements,Registration, Licenses, & Permits,State and Federal Tax Training and Registration,Tax Credits","","Call Center Services,Competitive Analysis,Graphic Design,Import/Export Certification and Licensing,International Trade Training,Market Plan Development and Training,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Subcontracting Opportunities","Formal Mentoring Programs,One-to-One Counseling","Geographically Based,Networking/Exploring Exporting","","","","","","Agriculture,Arts,Biosciences Services and Manufacturing,Energy & Utilities,High Tech Services & Manufacturing,Not for Profit,Other Services,Wholesale","Asian,Immigrant,LGBTQ,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Insurance Requirements,International Regulatory Compliance","","Call Center Services,E-Commerce/Internet Marketing,Market Plan Development and Training,Obtaining Government Contracts,Student Research/Marketing Projects,Subcontracting Opportunities,Trade Education and Training",Peer Mentoring,Small Business/General,"","","","","","Management,Retail,Tourism,Transportation & Warehousing","Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","Bid Matching and Preparation,HUBZone Certification,Identification/Research of Foreign Markets,Locating Foreign Distributors,Market Research,Obtaining Corporate Contracts,Subcontracting Opportunities","Formal Mentoring Programs,One-to-One Counseling","","","","","","","Arts,Biosciences Services and Manufacturing,Education,Energy & Utilities,Fiance & Insurance,Not for Profit,Personal Services,Real Estate,Restaurant & Hotel,Transportation & Warehousing","Asian,Hispanic,Native American,Veteran,Woman,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Insurance Requirements,International Regulatory Compliance,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Market Plan Development and Training,Obtaining Government Contracts,Subcontracting Opportunities","","Industry Specific,Networking/Exploring Exporting","","","","","","Agriculture,Arts,Construction,Education,Information Technology,Manufacturing,Personal Services,Real Estate,Restaurant & Hotel","Native American,Other,Veteran,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Lease Review,Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration","","E-Commerce/Internet Marketing,Feasibility Studies,HUBZone Certification,Import/Export Certification and Licensing,Subcontracting Opportunities","",Small Business/General,"","","","","","Construction,Education,Energy & Utilities,Fiance & Insurance,High Tech Services & Manufacturing,Management,Manufacturing,Real Estate,Retail,Tourism,Transportation & Warehousing,Wholesale","LGBTQ,Other,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Lease Review,Tax Credits","","Feasibility Studies,International Trade Training,Market Plan Development and Training,Market Research","","Demographically Based,Industry Specific","","","","","","Biosciences Services and Manufacturing,Energy & Utilities,Fiance & Insurance,Other Services,Professional Services,Restaurant & Hotel",""
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Insurance Requirements,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,Tax Credits","","Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies,Market Plan Development and Training,Networking/Exploring Exporting,Trade Education and Training","Formal Mentoring Programs,Peer Mentoring","Geographically Based,Industry Specific,Small Business/General","","","","","","Biosciences Services and Manufacturing,Fiance & Insurance,Manufacturing,Not for Profit,Personal Services,Tourism,Wholesale","Asian,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Lease Review,Registration, Licenses, & Permits,Tax Credits","","Bid Matching and Preparation,Competitive Analysis,Graphic Design,Identification/Research of Foreign Markets,International Trade Training,Networking/Exploring Exporting,Subcontracting Opportunities","One-to-One Counseling,Peer Mentoring","Industry Specific,Networking/Exploring Exporting,Small Business/General","","","","","","Agriculture,Health & Childcare,Not for Profit,Other Services,Personal Services,Wholesale","Asian,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,State and Federal Tax Training and Registration,Tax Credits","","Bid Matching and Preparation,HUBZone Certification,Identification/Research of Foreign Markets,Market Plan Development and Training,Student Research/Marketing Projects,Subcontracting Opportunities,Trade Education and Training,Website Development","","Industry Specific,Small Business/General","","","","","","Energy & Utilities,Fiance & Insurance,Information Technology,Personal Services,Professional Services,Restaurant & Hotel,Wholesale",Other
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Lease Review,Patent, Trademark, & Copyright Information","","Bid Matching and Preparation,Call Center Services,Feasibility Studies,Graphic Design,Identification/Research of Foreign Markets,Market Plan Development and Training,Obtaining Government Contracts","","Geographically Based,Industry Specific,Networking/Exploring Exporting,Small Business/General","","","","","","Arts,Education,Fiance & Insurance,Information Technology,Manufacturing,Real Estate,Restaurant & Hotel,Transportation & Warehousing","Asian,LGBTQ,Native American"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Lease Review,Tax Credits","","Graphic Design,International Trade Training,Locating Foreign Distributors,Market Plan Development and Training,Networking/Exploring Exporting,Selling to Foreign Governments and Businesses,Website Development",Formal Mentoring Programs,"Demographically Based,Industry Specific,Small Business/General","","","","","","Energy & Utilities,Tourism","LGBTQ,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Government Requirements,Insurance Requirements","","E-Commerce/Internet Marketing,Graphic Design,Import/Export Certification and Licensing,Networking/Exploring Exporting,Obtaining Corporate Contracts,Obtaining Government Contracts",Formal Mentoring Programs,"Geographically Based,Networking/Exploring Exporting","","","","","","Biosciences Services and Manufacturing,Fiance & Insurance,Not for Profit,Other Services,Personal Services,Professional Services,Restaurant & Hotel","African American,LGBTQ,Native American,Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,Government Requirements,Insurance Requirements,International Regulatory Compliance,Lease Review,Registration, Licenses, & Permits","","Bid Matching and Preparation,Call Center Services,E-Commerce/Internet Marketing,Identification/Research of Foreign Markets,Locating Foreign Distributors,Obtaining Government Contracts,Student Research/Marketing Projects",Peer Mentoring,"","","","","","","Agriculture,Biosciences Services and Manufacturing,Energy & Utilities,Health & Childcare,High Tech Services & Manufacturing,Not for Profit,Personal Services,Wholesale",Immigrant
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,International Regulatory Compliance,Lease Review,State and Federal Tax Training and Registration,Tax Credits","","Call Center Services,E-Commerce/Internet Marketing,Graphic Design,Market Research,Networking/Exploring Exporting,Obtaining Corporate Contracts,Student Research/Marketing Projects,Subcontracting Opportunities",Peer Mentoring,"Demographically Based,Industry Specific,Networking/Exploring Exporting","","","","","","Fiance & Insurance,Management,Not for Profit,Professional Services","LGBTQ,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Insurance Requirements,International Regulatory Compliance,Registration, Licenses, & Permits,Tax Credits","",E-Commerce/Internet Marketing,"Formal Mentoring Programs,Peer Mentoring","Demographically Based,Geographically Based,Industry Specific,Networking/Exploring Exporting","","","","","","Fiance & Insurance,High Tech Services & Manufacturing,Manufacturing,Other Services,Retail,Tourism","African American,LGBTQ,Veteran,Woman,Ex-Convict"
